Starting Part 2 suite 'combined' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-combined-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[162/210] part2-combined complete: repeat=4/5; llm_like; k=8; N=16384
[163/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=2; N=4096
[164/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=2; N=16384
[165/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=4; N=4096
[166/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=4; N=16384
[167/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=8; N=4096
[168/210] part2-combined complete: repeat=4/5; llm_like_exact_shared; k=8; N=16384
[169/210] part2-combined complete: repeat=5/5; baseline; k=2; N=4096
[170/210] part2-combined complete: repeat=5/5; baseline; k=2; N=16384
[171/210] part2-combined complete: repeat=5/5; baseline; k=4; N=4096
[172/210] part2-combined complete: repeat=5/5; baseline; k=4; N=16384
[173/210] part2-combined complete: repeat=5/5; baseline; k=8; N=4096
[174/210] part2-combined complete: repeat=5/5; baseline; k=8; N=16384
[175/210] part2-combined complete: repeat=5/5; modular_support; k=2; N=4096
[176/210] part2-combined complete: repeat=5/5; modular_support; k=2; N=16384
[177/210] part2-combined complete: repeat=5/5; modular_support; k=4; N=4096
[178/210] part2-combined complete: repeat=5/5; modular_support; k=4; N=16384
[179/210] part2-combined complete: repeat=5/5; modular_support; k=8; N=4096
[180/210] part2-combined complete: repeat=5/5; modular_support; k=8; N=16384
[181/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=2; N=4096
[182/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=2; N=16384
[183/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=4; N=4096
[184/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=4; N=16384
[185/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=8; N=4096
[186/210] part2-combined complete: repeat=5/5; zipf_frequencies; k=8; N=16384
