Starting Part 2 suite 'geometry' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-geometry-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[143/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=8; N=4096
[144/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=8; N=16384
[145/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=2; N=4096
[146/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=2; N=16384
[147/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=4; N=4096
[148/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=4; N=16384
[149/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=8; N=4096
[150/150] part2-geometry complete: repeat=5/5; coherence=0.9; k=8; N=16384
Wrote results to results/part2-geometry-169194
Wrote results/part2-geometry-169194/overview.png
Read results/part2-geometry-169194/interpretation.md after inspecting gride_profiles.csv.
